0|3M CO|COM|88579Y101|3587|SOLE|N/A|15240|SH||15240|0|0|1350694|2018-02-13|2017-12-31
1|ADOBE SYS INC|COM|00724F101|2185|SOLE|N/A|12468|SH||12468|0|0|1350694|2018-02-13|2017-12-31
2|AGNICO EAGLE MINES LTD|COM|008474108|3425|SOLE|N/A|74067|SH||74067|0|0|1350694|2018-02-13|2017-12-31
3|AGRIUM INC|COM|008916108|1888|SOLE|N/A|16334|SH||16334|0|0|1350694|2018-02-13|2017-12-31
4|ALEXION PHARMACEUTICALS INC|COM|015351109|7799|SOLE|N/A|65212|SH||65212|0|0|1350694|2018-02-13|2017-12-31
5|ALLIANCE DATA SYSTEMS CORP|COM|018581108|21217|SOLE|N/A|83703|SH||83703|0|0|1350694|2018-02-13|2017-12-31
6|ALLIANT ENERGY CORP|COM|018802108|1886|SOLE|N/A|44260|SH||44260|0|0|1350694|2018-02-13|2017-12-31
7|ALLSTATE CORP|COM|020002101|4011|SOLE|N/A|38305|SH||38305|0|0|1350694|2018-02-13|2017-12-31
8|ALPHABET INC|CAP STK CL A|02079K305|495|SOLE|N/A|470|SH||470|0|0|1350694|2018-02-13|2017-12-31
9|AMERICAN CAMPUS CMNTYS INC|COM|024835100|3078|SOLE|N/A|75024|SH||75024|0|0|1350694|2018-02-13|2017-12-31
10|AMERICAN INTL GROUP INC|COM NEW|026874784|3391|SOLE|N/A|56920|SH||56920|0|0|1350694|2018-02-13|2017-12-31
11|AMERICAN TOWER CORP NEW|COM|03027X100|2757|SOLE|N/A|19326|SH||19326|0|0|1350694|2018-02-13|2017-12-31
12|AMERISOURCEBERGEN CORP|COM|03073E105|1689|SOLE|N/A|18399|SH||18399|0|0|1350694|2018-02-13|2017-12-31
13|AMGEN INC|COM|031162100|2780|SOLE|N/A|15987|SH||15987|0|0|1350694|2018-02-13|2017-12-31
14|ANADARKO PETE CORP|COM|032511107|1262|SOLE|N/A|23525|SH||23525|0|0|1350694|2018-02-13|2017-12-31
15|ANGLOGOLD ASHANTI LTD|SPONSORED ADR|035128206|746|SOLE|N/A|73180|SH||73180|0|0|1350694|2018-02-13|2017-12-31
16|AON PLC|SHS CL A|G0408V102|2493|SOLE|N/A|18605|SH||18605|0|0|1350694|2018-02-13|2017-12-31
17|APACHE CORP|COM|037411105|704|SOLE|N/A|16677|SH||16677|0|0|1350694|2018-02-13|2017-12-31
18|APARTMENT INVT & MGMT CO|CL A|03748R101|1055|SOLE|N/A|24133|SH||24133|0|0|1350694|2018-02-13|2017-12-31
19|APPLE INC|COM|037833100|2146|SOLE|N/A|12680|SH||12680|0|0|1350694|2018-02-13|2017-12-31
20|APPLIED MATLS INC|COM|038222105|5996|SOLE|N/A|117284|SH||117284|0|0|1350694|2018-02-13|2017-12-31
21|AT&T INC|COM|00206R102|8368|SOLE|N/A|215233|SH||215233|0|0|1350694|2018-02-13|2017-12-31
22|ATMOS ENERGY CORP|COM|049560105|687|SOLE|N/A|8004|SH||8004|0|0|1350694|2018-02-13|2017-12-31
23|AUTOZONE INC|COM|053332102|6303|SOLE|N/A|8861|SH||8861|0|0|1350694|2018-02-13|2017-12-31
24|AVALONBAY CMNTYS INC|COM|053484101|3977|SOLE|N/A|22293|SH||22293|0|0|1350694|2018-02-13|2017-12-31
25|B2GOLD CORP|COM|11777Q209|552|SOLE|N/A|178166|SH||178166|0|0|1350694|2018-02-13|2017-12-31
26|BALL CORP|COM|058498106|2481|SOLE|N/A|65558|SH||65558|0|0|1350694|2018-02-13|2017-12-31
27|BANK MONTREAL QUE|COM|063671101|5967|SOLE|N/A|74326|SH||74326|0|0|1350694|2018-02-13|2017-12-31
28|BANK N S HALIFAX|COM|064149107|10015|SOLE|N/A|154693|SH||154693|0|0|1350694|2018-02-13|2017-12-31
29|BARRICK GOLD CORP|COM|067901108|2335|SOLE|N/A|160951|SH||160951|0|0|1350694|2018-02-13|2017-12-31
30|BCE INC|COM NEW|05534B760|4067|SOLE|N/A|84392|SH||84392|0|0|1350694|2018-02-13|2017-12-31
31|BED BATH & BEYOND INC|COM|075896100|24445|SOLE|N/A|1111621|SH||1111621|0|0|1350694|2018-02-13|2017-12-31
32|BHP BILLITON LTD|SPONSORED ADR|088606108|3384|SOLE|N/A|73590|SH||73590|0|0|1350694|2018-02-13|2017-12-31
33|BIO RAD LABS INC|CL A|090572207|4596|SOLE|N/A|19255|SH||19255|0|0|1350694|2018-02-13|2017-12-31
34|BLACKBERRY LTD|COM|09228F103|831|SOLE|N/A|74136|SH||74136|0|0|1350694|2018-02-13|2017-12-31
35|BOSTON SCIENTIFIC CORP|COM|101137107|4365|SOLE|N/A|176079|SH||176079|0|0|1350694|2018-02-13|2017-12-31
36|BP PLC|SPONSORED ADR|055622104|3378|SOLE|N/A|80376|SH||80376|0|0|1350694|2018-02-13|2017-12-31
37|BROOKFIELD ASSET MGMT INC|CL A LTD VT SH|112585104|4935|SOLE|N/A|113009|SH||113009|0|0|1350694|2018-02-13|2017-12-31
38|CA INC|COM|12673P105|3890|SOLE|N/A|116893|SH||116893|0|0|1350694|2018-02-13|2017-12-31
39|CABOT OIL & GAS CORP|COM|127097103|642|SOLE|N/A|22451|SH||22451|0|0|1350694|2018-02-13|2017-12-31
40|CAMECO CORP|COM|13321L108|155|SOLE|N/A|16767|SH||16767|0|0|1350694|2018-02-13|2017-12-31
41|CANADIAN NAT RES LTD|COM|136385101|7598|SOLE|N/A|211927|SH||211927|0|0|1350694|2018-02-13|2017-12-31
42|CANADIAN NATL RY CO|COM|136375102|6872|SOLE|N/A|83075|SH||83075|0|0|1350694|2018-02-13|2017-12-31
43|CANADIAN PAC RY LTD|COM|13645T100|3365|SOLE|N/A|18357|SH||18357|0|0|1350694|2018-02-13|2017-12-31
44|CARDINAL HEALTH INC|COM|14149Y108|29146|SOLE|N/A|475692|SH||475692|0|0|1350694|2018-02-13|2017-12-31
45|CARNIVAL CORP|UNIT 99/99/9999|143658300|3793|SOLE|N/A|57144|SH||57144|0|0|1350694|2018-02-13|2017-12-31
46|CATERPILLAR INC DEL|COM|149123101|4785|SOLE|N/A|30363|SH||30363|0|0|1350694|2018-02-13|2017-12-31
47|CBL & ASSOC PPTYS INC|COM|124830100|57|SOLE|N/A|10063|SH||10063|0|0|1350694|2018-02-13|2017-12-31
48|CBS CORP NEW|CL B|124857202|9568|SOLE|N/A|162176|SH||162176|0|0|1350694|2018-02-13|2017-12-31
